=================================================================
  Pythagorean Quadruples + Magic Square Solver (v3, exhaustive)
  d_max=10000,  min_triples=1
=================================================================

Distinct d values : 9963
Total triples     : 5595355

Running exhaustive search...
-----------------------------------------------------------------
  [478/9963] d=502  (31 triples)... score=6/8
  [479/9963] d=503  (63 triples)... score=6/8
  [480/9963] d=504  (18 triples)... score=6/8
  [481/9963] d=505  (61 triples)... score=6/8
  [482/9963] d=506  (40 triples)... score=6/8
  [483/9963] d=507  (104 triples)... score=7/8
  [484/9963] d=508  (16 triples)... score=6/8
  [485/9963] d=509  (63 triples)... score=6/8
  [486/9963] d=510  (49 triples)... score=6/8
  [487/9963] d=511  (81 triples)... score=6/8
  [488/9963] d=513  (134 triples)... score=6/8
  [489/9963] d=514  (31 triples)... score=6/8
  [490/9963] d=515  (65 triples)... score=6/8
  [491/9963] d=516  (26 triples)... score=6/8
  [492/9963] d=517  (79 triples)... score=6/8
  [493/9963] d=518  (41 triples)... score=6/8
  [494/9963] d=519  (107 triples)... score=6/8
  [495/9963] d=520  (6 triples)... score=4/8
  [496/9963] d=521  (64 triples)... score=6/8
  [497/9963] d=522  (60 triples)... score=6/8
  [498/9963] d=523  (65 triples)... score=6/8
  [499/9963] d=524  (16 triples)... score=6/8
  [500/9963] d=525  (139 triples)... score=6/8
  [501/9963] d=526  (33 triples)... score=6/8
  [502/9963] d=527  (69 triples)... score=6/8
  [503/9963] d=528  (6 triples)... score=3/8
  [504/9963] d=529  (72 triples)... score=6/8
  [505/9963] d=530  (31 triples)... score=6/8
  [506/9963] d=531  (126 triples)... score=6/8
  [507/9963] d=532  (23 triples)... score=6/8
  [508/9963] d=533  (64 triples)... score=6/8
  [509/9963] d=534  (53 triples)... score=6/8
  [510/9963] d=535  (67 triples)... score=6/8
  [511/9963] d=536  (8 triples)... score=4/8
  [512/9963] d=537  (111 triples)... score=6/8
  [513/9963] d=538  (33 triples)... score=6/8
  [514/9963] d=539  (105 triples)... score=6/8
  [515/9963] d=540  (31 triples)... score=6/8
  [516/9963] d=541  (67 triples)... score=6/8
  [517/9963] d=542  (34 triples)... score=6/8
  [518/9963] d=543  (112 triples)... score=6/8
  [519/9963] d=544  (1 triples)... score=1/8
  [520/9963] d=545  (66 triples)... score=6/8
  [521/9963] d=546  (72 triples)... score=6/8
  [522/9963] d=547  (68 triples)... score=6/8
  [523/9963] d=548  (16 triples)... score=6/8
  [524/9963] d=549  (128 triples)... score=6/8
  [525/9963] d=550  (39 triples)... score=6/8
  [526/9963] d=551  (75 triples)... score=6/8
  [527/9963] d=552  (15 triples)... score=5/8
  [528/9963] d=553  (91 triples)... score=6/8
  [529/9963] d=554  (34 triples)... score=6/8
  [530/9963] d=555  (113 triples)... score=6/8
  [531/9963] d=556  (17 triples)... score=6/8
  [532/9963] d=557  (69 triples)... score=6/8
  [533/9963] d=558  (69 triples)... score=6/8
  [534/9963] d=559  (72 triples)... score=6/8
  [535/9963] d=560  (5 triples)... score=4/8
  [536/9963] d=561  (131 triples)... score=6/8
  [537/9963] d=562  (34 triples)... score=6/8
  [538/9963] d=563  (70 triples)... score=6/8
  [539/9963] d=564  (30 triples)... score=6/8
  [540/9963] d=565  (68 triples)... score=6/8
  [541/9963] d=566  (35 triples)... score=6/8
  [542/9963] d=567  (179 triples)... score=6/8
  [543/9963] d=568  (9 triples)... score=6/8
  [544/9963] d=569  (70 triples)... score=6/8
  [545/9963] d=570  (63 triples)... score=6/8
  [546/9963] d=571  (71 triples)... score=6/8
  [547/9963] d=572  (20 triples)... score=6/8
  [548/9963] d=573  (120 triples)... score=6/8
  [549/9963] d=574  (45 triples)... score=6/8
  [550/9963] d=575  (77 triples)... score=6/8
  [551/9963] d=576  (1 triples)... score=1/8
  [552/9963] d=577  (71 triples)... score=6/8
  [553/9963] d=578  (34 triples)... score=6/8
  [554/9963] d=579  (118 triples)... score=6/8
  [555/9963] d=580  (16 triples)... score=5/8
  [556/9963] d=581  (95 triples)... score=6/8
  [557/9963] d=582  (58 triples)... score=6/8
  [558/9963] d=583  (85 triples)... score=6/8
  [559/9963] d=584  (8 triples)... score=4/8
  [560/9963] d=585  (135 triples)... score=6/8
  [561/9963] d=586  (36 triples)... score=6/8
  [562/9963] d=587  (73 triples)... score=6/8
  [563/9963] d=588  (40 triples)... score=7/8
  [564/9963] d=589  (86 triples)... score=6/8
  [565/9963] d=590  (37 triples)... score=6/8
